Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
MANHATTAN,6,2018,Not SWD,5965,608,867,14.5,1169,19.6,1310,22,2619,43.9,3929,65.9
MANHATTAN,7,2013,SWD,1614,270,1083,67.1,411,25.5,107,6.6,13,0.8,120,7.4
MANHATTAN,7,2013,Not SWD,6876,305,1891,27.5,2485,36.1,1672,24.3,828,12,2500,36.4
MANHATTAN,7,2014,SWD,1788,272,1136,63.5,493,27.6,140,7.8,19,1.1,159,8.9
MANHATTAN,7,2014,Not SWD,6408,306,1541,24,2309,36,1865,29.1,693,10.8,2558,39.9
MANHATTAN,7,2015,SWD,1887,273,1205,63.9,493,26.1,154,8.2,35,1.9,189,10
MANHATTAN,7,2015,Not SWD,6071,307,1434,23.6,2013,33.2,1947,32.1,677,11.2,2624,43.2
MANHATTAN,7,2016,SWD,1869,283,936,50.1,699,37.4,181,9.7,53,2.8,234,12.5
MANHATTAN,7,2016,Not SWD,5968,317,869,14.6,1903,31.9,1908,32,1288,21.6,3196,53.6
MANHATTAN,7,2017,SWD,1566,291,630,40.2,613,39.1,248,15.8,75,4.8,323,20.6
MANHATTAN,7,2017,Not SWD,6070,324,609,10,1758,29,2009,33.1,1694,27.9,3703,61
MANHATTAN,7,2018,SWD,1709,590,820,48,553,32.4,259,15.2,77,4.5,336,19.7
MANHATTAN,7,2018,Not SWD,5955,610,812,13.6,1551,26,2017,33.9,1575,26.4,3592,60.3
MANHATTAN,8,2013,SWD,1533,268,1019,66.5,385,25.1,101,6.6,28,1.8,129,8.4
MANHATTAN,8,2013,Not SWD,6809,302,1903,27.9,2413,35.4,1628,23.9,865,12.7,2493,36.6
MANHATTAN,8,2014,SWD,1789,274,1041,58.2,589,32.9,129,7.2,30,1.7,159,8.9
MANHATTAN,8,2014,Not SWD,6871,305,1529,22.3,2652,38.6,1748,25.4,942,13.7,2690,39.2
MANHATTAN,8,2015,SWD,1728,276,931,53.9,593,34.3,184,10.6,20,1.2,204,11.8
MANHATTAN,8,2015,Not SWD,6370,308,1181,18.5,2263,35.5,1970,30.9,956,15,2926,45.9
MANHATTAN,8,2016,SWD,1798,283,847,47.1,679,37.8,214,11.9,58,3.2,272,15.1
MANHATTAN,8,2016,Not SWD,6012,316,792,13.2,1932,32.1,1992,33.1,1296,21.6,3288,54.7
MANHATTAN,8,2017,SWD,1501,287,609,40.6,598,39.8,241,16.1,53,3.5,294,19.6
MANHATTAN,8,2017,Not SWD,5906,320,657,11.1,1610,27.3,2093,35.4,1546,26.2,3639,61.6
MANHATTAN,8,2018,SWD,1564,590,529,33.8,652,41.7,268,17.1,115,7.4,383,24.5
MANHATTAN,8,2018,Not SWD,6006,609,523,8.7,1535,25.6,1752,29.2,2196,36.6,3948,65.7
MANHATTAN,All Grades,2013,SWD,9762,271,6404,65.6,2452,25.1,715,7.3,191,2,906,9.3
MANHATTAN,All Grades,2013,Not SWD,41394,306,10804,26.1,14942,36.1,10042,24.3,5606,13.5,15648,37.8
MANHATTAN,All Grades,2014,SWD,11391,273,7010,61.5,3175,27.9,941,8.3,265,2.3,1206,10.6
MANHATTAN,All Grades,2014,Not SWD,39698,309,9074,22.9,14072,35.4,10427,26.3,6125,15.4,16552,41.7
MANHATTAN,All Grades,2015,SWD,11410,275,6767,59.3,3256,28.5,1086,9.5,301,2.6,1387,12.2
MANHATTAN,All Grades,2015,Not SWD,38215,311,7976,20.9,12967,33.9,10569,27.7,6703,17.5,17272,45.2
MANHATTAN,All Grades,2016,SWD,11506,281,6133,53.3,3692,32.1,1286,11.2,395,3.4,1681,14.6
MANHATTAN,All Grades,2016,Not SWD,37208,318,5600,15.1,11337,30.5,11984,32.2,8287,22.3,20271,54.5
MANHATTAN,All Grades,2017,SWD,9666,284,4703,48.7,3224,33.4,1349,14,390,4,1739,18
MANHATTAN,All Grades,2017,Not SWD,36883,321,5009,13.6,10582,28.7,11430,31,9862,26.7,21292,57.7
MANHATTAN,All Grades,2018,SWD,10076,589,4426,43.9,3209,31.8,1765,17.5,676,6.7,2441,24.2
MANHATTAN,All Grades,2018,Not SWD,36487,609,4410,12.1,8803,24.1,11439,31.4,11835,32.4,23274,63.8
QUEENS,3,2013,SWD,3223,275,2130,66.1,805,25,272,8.4,16,0.5,288,8.9
QUEENS,3,2013,Not SWD,17643,309,4429,25.1,6419,36.4,5839,33.1,956,5.4,6795,38.5
QUEENS,3,2014,SWD,3477,274,2231,64.2,902,25.9,321,9.2,23,0.7,344,9.9
QUEENS,3,2014,Not SWD,17143,307,4509,26.3,5717,33.3,5989,34.9,928,5.4,6917,40.3
QUEENS,3,2015,SWD,3553,273,2383,67.1,851,24,294,8.3,25,0.7,319,9
QUEENS,3,2015,Not SWD,17174,310,4094,23.8,6058,35.3,5672,33,1350,7.9,7022,40.9
QUEENS,3,2016,SWD,3746,284,2128,56.8,1133,30.2,454,12.1,31,0.8,485,12.9
QUEENS,3,2016,Not SWD,17842,320,2576,14.4,5954,33.4,7458,41.8,1854,10.4,9312,52.2
QUEENS,3,2017,SWD,3554,282,2064,58.1,1025,28.8,437,12.3,28,0.8,465,13.1
QUEENS,3,2017,Not SWD,17065,320,2671,15.7,4896,28.7,7353,43.1,2145,12.6,9498,55.7
QUEENS,3,2018,SWD,3557,586,1398,39.3,1398,39.3,708,19.9,53,1.5,761,21.4
QUEENS,3,2018,Not SWD,16527,607,1362,8.2,4625,28,8452,51.1,2088,12.6,10540,63.8
QUEENS,4,2013,SWD,3335,271,2143,64.3,958,28.7,191,5.7,43,1.3,234,7
QUEENS,4,2013,Not SWD,17038,309,3389,19.9,7328,43,4109,24.1,2212,13,6321,37.1
QUEENS,4,2014,SWD,3600,275,2159,60,1098,30.5,271,7.5,72,2,343,9.5
QUEENS,4,2014,Not SWD,16650,310,3118,18.7,6447,38.7,4651,27.9,2434,14.6,7085,42.6
QUEENS,4,2015,SWD,3710,273,2230,60.1,1160,31.3,257,6.9,63,1.7,320,8.6
QUEENS,4,2015,Not SWD,16602,311,3008,18.1,6548,39.4,4404,26.5,2642,15.9,7046,42.4
QUEENS,4,2016,SWD,3759,284,1911,50.8,1397,37.2,365,9.7,86,2.3,451,12
QUEENS,4,2016,Not SWD,16811,320,1757,10.5,5728,34.1,5360,31.9,3966,23.6,9326,55.5
QUEENS,4,2017,SWD,3804,281,2007,52.8,1310,34.4,390,10.3,97,2.5,487,12.8
QUEENS,4,2017,Not SWD,17536,318,2193,12.5,5950,33.9,5308,30.3,4085,23.3,9393,53.6
QUEENS,4,2018,SWD,3758,586,1569,41.8,1490,39.6,539,14.3,160,4.3,699,18.6
QUEENS,4,2018,Not SWD,16684,608,1465,8.8,4743,28.4,5606,33.6,4870,29.2,10476,62.8
QUEENS,5,2013,SWD,3388,275,2202,65,931,27.5,204,6,51,1.5,255,7.5
QUEENS,5,2013,Not SWD,16571,311,3531,21.3,6329,38.2,4543,27.4,2168,13.1,6711,40.5
QUEENS,5,2014,SWD,3559,271,2419,68,893,25.1,203,5.7,44,1.2,247,6.9
QUEENS,5,2014,Not SWD,16551,309,3735,22.6,6469,39.1,4126,24.9,2221,13.4,6347,38.3
QUEENS,5,2015,SWD,3664,272,2343,63.9,1038,28.3,231,6.3,52,1.4,283,7.7
QUEENS,5,2015,Not SWD,16187,312,3121,19.3,6185,38.2,4292,26.5,2589,16,6881,42.5
QUEENS,5,2016,SWD,3763,272,2522,67,927,24.6,265,7,49,1.3,314,8.3
QUEENS,5,2016,Not SWD,16397,313,3353,20.4,5275,32.2,5042,30.7,2727,16.6,7769,47.4
QUEENS,5,2017,SWD,3664,272,2434,66.4,946,25.8,235,6.4,49,1.3,284,7.8
QUEENS,5,2017,Not SWD,16631,315,3233,19.4,5444,32.7,4591,27.6,3363,20.2,7954,47.8
QUEENS,5,2018,SWD,3755,586,2357,62.8,972,25.9,315,8.4,111,3,426,11.3
QUEENS,5,2018,Not SWD,17217,607,3332,19.4,5299,30.8,4840,28.1,3746,21.8,8586,49.9
QUEENS,6,2013,SWD,3259,270,2099,64.4,1031,31.6,96,2.9,33,1,129,4
QUEENS,6,2013,Not SWD,16748,306,3489,20.8,7734,46.2,2946,17.6,2579,15.4,5525,33
QUEENS,6,2014,SWD,3403,272,2025,59.5,1189,34.9,138,4.1,51,1.5,189,5.6
QUEENS,6,2014,Not SWD,16160,307,2797,17.3,7706,47.7,2857,17.7,2800,17.3,5657,35
QUEENS,6,2015,SWD,3493,273,2143,61.4,1132,32.4,151,4.3,67,1.9,218,6.2
QUEENS,6,2015,Not SWD,16253,311,2723,16.8,6874,42.3,3303,20.3,3353,20.6,6656,41
QUEENS,6,2016,SWD,3597,274,2068,57.5,1246,34.6,220,6.1,63,1.8,283,7.9
QUEENS,6,2016,Not SWD,16134,314,2205,13.7,6239,38.7,4001,24.8,3689,22.9,7690,47.7
QUEENS,6,2017,SWD,3571,272,2213,62,1145,32.1,159,4.5,54,1.5,213,6
QUEENS,6,2017,Not SWD,16501,311,2897,17.6,6284,38.1,3290,19.9,4030,24.4,7320,44.4
QUEENS,6,2018,SWD,3666,585,2096,57.2,977,26.7,416,11.3,177,4.8,593,16.2
QUEENS,6,2018,Not SWD,16523,607,2600,15.7,3600,21.8,3862,23.4,6461,39.1,10323,62.5
QUEENS,7,2013,SWD,3082,272,2063,66.9,832,27,175,5.7,12,0.4,187,6.1
QUEENS,7,2013,Not SWD,17087,306,3946,23.1,7043,41.2,4526,26.5,1572,9.2,6098,35.7
QUEENS,7,2014,SWD,3274,271,2178,66.5,921,28.1,155,4.7,20,0.6,175,5.3
QUEENS,7,2014,Not SWD,16651,306,3810,22.9,6624,39.8,4722,28.4,1495,9,6217,37.3
QUEENS,7,2015,SWD,3285,271,2233,68,881,26.8,161,4.9,10,0.3,171,5.2
QUEENS,7,2015,Not SWD,16187,306,3795,23.4,6092,37.6,4984,30.8,1316,8.1,6300,38.9
QUEENS,7,2016,SWD,3409,280,1937,56.8,1195,35.1,242,7.1,35,1,277,8.1
QUEENS,7,2016,Not SWD,16315,315,2126,13,6308,38.7,5060,31,2821,17.3,7881,48.3
QUEENS,7,2017,SWD,3355,286,1488,44.4,1472,43.9,347,10.3,48,1.4,395,11.8
QUEENS,7,2017,Not SWD,16440,320,1576,9.6,5593,34,5977,36.4,3294,20,9271,56.4
QUEENS,7,2018,SWD,3517,587,1897,53.9,1158,32.9,409,11.6,53,1.5,462,13.1
QUEENS,7,2018,Not SWD,16554,608,2569,15.5,4720,28.5,5672,34.3,3593,21.7,9265,56
QUEENS,8,2013,SWD,3023,268,2000,66.2,846,28,158,5.2,19,0.6,177,5.9
QUEENS,8,2013,Not SWD,16655,304,3937,23.6,6707,40.3,4201,25.2,1810,10.9,6011,36.1
QUEENS,8,2014,SWD,3048,272,1805,59.2,1007,33,210,6.9,26,0.9,236,7.7
QUEENS,8,2014,Not SWD,17231,307,3202,18.6,7045,40.9,4733,27.5,2251,13.1,6984,40.5
QUEENS,8,2015,SWD,3133,273,1824,58.2,1119,35.7,171,5.5,19,0.6,190,6.1
QUEENS,8,2015,Not SWD,16795,309,2711,16.1,6663,39.7,5219,31.1,2202,13.1,7421,44.2
QUEENS,8,2016,SWD,3058,281,1485,48.6,1251,40.9,292,9.5,30,1,322,10.5
QUEENS,8,2016,Not SWD,16228,316,1717,10.6,5689,35.1,5612,34.6,3210,19.8,8822,54.4
QUEENS,8,2017,SWD,3064,284,1374,44.8,1251,40.8,385,12.6,54,1.8,439,14.3
QUEENS,8,2017,Not SWD,16486,320,1615,9.8,5030,30.5,5937,36,3904,23.7,9841,59.7
QUEENS,8,2018,SWD,3190,588,1124,35.2,1466,46,480,15,120,3.8,600,18.8
QUEENS,8,2018,Not SWD,16418,608,1420,8.6,4471,27.2,5149,31.4,5378,32.8,10527,64.1
QUEENS,All Grades,2013,SWD,19310,272,12637,65.4,5403,28,1096,5.7,174,0.9,1270,6.6
QUEENS,All Grades,2013,Not SWD,101742,307,22721,22.3,41560,40.8,26164,25.7,11297,11.1,37461,36.8
QUEENS,All Grades,2014,SWD,20361,273,12817,62.9,6010,29.5,1298,6.4,236,1.2,1534,7.5
QUEENS,All Grades,2014,Not SWD,100386,308,21171,21.1,40008,39.9,27078,27,12129,12.1,39207,39.1
QUEENS,All Grades,2015,SWD,20838,273,13156,63.1,6181,29.7,1265,6.1,236,1.1,1501,7.2
QUEENS,All Grades,2015,Not SWD,99198,310,19452,19.6,38420,38.7,27874,28.1,13452,13.6,41326,41.7
QUEENS,All Grades,2016,SWD,21332,279,12051,56.5,7149,33.5,1838,8.6,294,1.4,2132,10
QUEENS,All Grades,2016,Not SWD,99727,316,13734,13.8,35193,35.3,32533,32.6,18267,18.3,50800,50.9
QUEENS,All Grades,2017,SWD,21012,279,11580,55.1,7149,34,1953,9.3,330,1.6,2283,10.9
QUEENS,All Grades,2017,Not SWD,100659,317,14185,14.1,33197,33,32456,32.2,20821,20.7,53277,52.9
QUEENS,All Grades,2018,SWD,21443,587,10441,48.7,7461,34.8,2867,13.4,674,3.1,3541,16.5
QUEENS,All Grades,2018,Not SWD,99923,607,12748,12.8,27458,27.5,33581,33.6,26136,26.2,59717,59.8
STATEN ISLAND,3,2013,SWD,1101,279,654,59.4,332,30.2,108,9.8,7,0.6,115,10.4
STATEN ISLAND,3,2013,Not SWD,3509,310,799,22.8,1313,37.4,1231,35.1,166,4.7,1397,39.8
