Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
STATEN ISLAND,All Grades,2016,Econ Disadv,14361,301,4125,28.7,5491,38.2,3476,24.2,1269,8.8,4745,33
STATEN ISLAND,All Grades,2017,Not Econ Disadv,11193,323,1185,10.6,3206,28.6,3923,35,2879,25.7,6802,60.8
STATEN ISLAND,All Grades,2017,Econ Disadv,14494,303,3931,27.1,5279,36.4,3707,25.6,1577,10.9,5284,36.5
STATEN ISLAND,All Grades,2018,Not Econ Disadv,10513,611,879,8.4,2370,22.5,3826,36.4,3438,32.7,7264,69.1
STATEN ISLAND,All Grades,2018,Econ Disadv,15159,600,3626,23.9,5030,33.2,4222,27.9,2281,15,6503,42.9
BRONX,3,2014,Ever ELL,1379,295,508,36.8,573,41.6,281,20.4,17,1.2,298,21.6
BRONX,3,2014,Current ELL,2399,264,1835,76.5,475,19.8,87,3.6,2,0.1,89,3.7
BRONX,3,2014,Never ELL,11869,288,5678,47.8,3901,32.9,2136,18,154,1.3,2290,19.3
BRONX,3,2015,Ever ELL,1329,298,447,33.6,585,44,270,20.3,27,2,297,22.3
BRONX,3,2015,Current ELL,2432,265,1858,76.4,470,19.3,97,4,7,0.3,104,4.3
BRONX,3,2015,Never ELL,11587,291,5235,45.2,4006,34.6,2102,18.1,244,2.1,2346,20.2
BRONX,3,2016,Ever ELL,1166,309,232,19.9,520,44.6,380,32.6,34,2.9,414,35.5
BRONX,3,2016,Current ELL,2401,275,1630,67.9,652,27.2,114,4.7,5,0.2,119,5
BRONX,3,2016,Never ELL,11724,302,3863,32.9,4265,36.4,3164,27,432,3.7,3596,30.7
BRONX,3,2017,Ever ELL,835,311,158,18.9,323,38.7,318,38.1,36,4.3,354,42.4
BRONX,3,2017,Current ELL,2644,276,1738,65.7,690,26.1,204,7.7,12,0.5,216,8.2
